,InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
727,518faf54-80a9-4ab0-8019-4f9b76ac419b,"angi , mturk worker , saw dilig .",one day one favorit request reject work .,angi surpris email .,they respond work n't good enough .,angi decid tell request reject work .,angi tri discuss issu detail .,2
728,6266a3b8-2233-4bca-b648-7fcf5301040a,donovan ask trina go danc .,trina like donovan said ye realli worri .,after school ran home ask dad help .,when dad came home explain situat dad smile .,trina 's dad scold trina .,trina 's dad taught danc .,2
729,ec714b49-f953-4f96-93f3-0fea1fb4ac46,andi alway want big kid bike .,when turn six year 's old ask bike birthday .,He know ride bike .,On andi 's birthday mother gave bike .,andi cri hour .,hi dad taught ride .,2
730,39bf7b5a-e508-4483-9ef0-ab85fd3f5aef,suzi went ice cream store .,she order vanilla milkshak .,"when tri pay man milkshak , smile .",He told special contest .,He told owe sixti dollar .,He gave milkshak free .,2
731,e4cb65fa-0052-496f-8407-91adb01a783f,ned friend went fair .,He use last money buy fluffi cotton candi .,"As walk away , saw littl boy cri .",He drop cotton candi puddl .,So ned gave cotton candi .,He bought cotton candi boy .,1
732,7ae98915-03b0-40ae-9cd0-e1051e88c454,sebastian notic sunni warm .,He chore .,He n't feel like chore .,sebastian decid outdoor better .,sebastian felt like stay insid day .,sebastian walk outdoor went walk .,2
733,abb6f801-84a5-4f5c-8acd-41366562540b,rashid excel car driver .,one day rashid 's brother late work .,rashid offer drive brother .,they got time spare .,"hi brother yell , slam door .",hi brother grate .,2
734,7eb48737-de7e-4935-ad07-fb6bd6323923,ali went fast food place paid credit card .,the cashier took long time bring card back .,"A day later , ali found unusu transact card .","she call bank , revers charg .",she wonder cashier stolen inform .,she made sure thank fast food cashier .,1
735,ca091eda-e978-4722-b8c3-8fd607ab6ff7,I look nice paint live room .,henc yesterday I went look .,I final found beauti one I love .,the paint waterfal .,I decid buy paint I n't like .,I purchas brought home .,2
736,fa858dfd-9b76-4b82-9c28-d6af70649a5c,I want get promot .,I decid tri get promot .,"all year , I work hard .",My boss took notic call offic one day .,My boss fire spot .,I receiv promot I want .,2
737,b317440d-2f1f-44bc-9447-a51d9c7c2a79,maggi parent move new town .,maggi nervou n't know anyon .,"As soon move , went around introduc .",she end make friend .,maggi sad lone .,maggi like new town .,2
738,1cb827d2-5dca-4618-8787-770e5b31e5fa,dan walk home school saw window display .,there train set window store .,dan wish badli could train set .,when dan got home mother told surpris .,she gave dan train .,dan 's mother told get readi school .,1
739,0d6425fa-bf7d-47e9-803c-4918ebbfe1de,gina want steal mother 's hous key .,she wait mother take nap .,she took mom 's purs bathroom .,she remov key chain quietli .,then gina place purs right back found .,then gina told mom key .,1
740,5869b273-6f8c-471c-a269-a976c4a2a2ba,there man kentucki .,He love girl live louisiana .,He decid need move .,He move love .,the man move texa .,the man move kentucki .,2
741,eb063789-2d4d-49ab-ab4b-bdccc21ad5c8,tim fail math class .,He knew n't pass would go summer school .,He studi hard ask extra credit .,On last day school found pass !,tim thrill .,tim terribl disappoint .,1
742,e45ad242-95e8-4d1f-98df-068e883d7224,mary-ann feel lone decid adopt cat .,she went local human societi start process .,"while look , one cat meow .","mary-ann pet cat , love first sight .",she decid right cat .,she took cat home .,2
743,51a5d37a-b747-4b2b-ae86-77417dfd37bf,I took gymnast child .,I learn balanc beam move .,"As I round flip beam , I land wrong .",I broke ankl much pain !,I rush hospit .,I got got right back balanc beam .,1
744,0f00cda0-7624-4e4f-bbf6-b3b185448063,there six puppi run around foyer .,It go hard choos one want buy .,each daughter pick differ pup .,the owner said could get discount two dog .,We bought one dog .,We like dog .,1
745,f8dce44f-2d2d-435b-9c0b-613d2011882f,johnni want chang big citi life boston .,He decid would happier america 's heartland .,"final day arriv , johnni move idaho .",He escap big citi life .,johnni began plan move boston .,johnni happi small town .,2
746,f4afa99a-a6b4-4023-bce9-3c5772ccbb3d,joan hate go home christma .,she knew mother would hound love life .,thi year way home car accid .,her mother race side care need .,joan 's mother n't speak unmarri .,joan felt good see mother 's face .,2
747,10580bae-a7cf-483f-aa01-49626781a87e,I spend time work write .,As result I begun feel quit lone .,I 've decid join onlin date commun .,"As I join , I realiz I n't particularli like peopl .",I began write .,I went mani date .,1
748,72afc487-caed-42ff-b8cd-fc14176348fe,My daughter girl scout elementari school .,one day went overnight field trip .,My wife went chaperon .,everyon stay cabin new hampshir weekend .,My daughter never forgot field trip .,My wife I dinner night .,1
749,115cd979-a1f5-460d-90ff-4c1fc637f930,today club open new club around corner .,I could n't wait attend .,As got club beauti .,We order delici food danc .,We befriend bouncer would get club tomorrow .,the bouncer allow us club .,1
750,34f11687-2858-4acc-9f91-968cb6d4a1d2,yesterday I carri new glass kitchen .,To surpris I drop .,the glass shatter .,I pick .,I cut small piec .,I love way glass look .,1
751,385b1be2-05c9-4984-8ad3-2d667959a2be,bill 's famili live hill .,It never rain storm .,one day tornado go area .,"bill 's hous got hit , roof rip .",the insur compani cover charg new roof .,"they decid n't need anyway , move .",1
752,90d91e34-19ae-4ab5-836a-ef991863d531,allison decid want learn area 's histori .,she went librari check book .,she went insid could n't understand book sort .,she found librarian explain dewey decim system .,that help figur car n't want .,that help find want .,2
753,4b43c037-c52a-4076-af93-caf125331695,sebastian want play footbal friend team .,He talk friend found need go practic .,He practic catch footbal home week .,He went next practic score touchdown .,sebastian disappoint hit perform .,sebastian happi practic paid .,2
754,bee156cd-7812-4c67-ba93-1b2c497ee364,onc mother desper babi sleep .,she walk around still sleep .,she fed still sleep .,"final , rememb lullabi mother sung .",the mother gentli sung lullabi babi .,the mother play hip hop babi .,1
755,33ccaec6-8ae3-4569-8a79-05ccb6b27184,johnni use pee swim pool kid .,He thought could adult .,He took kid water park .,next peed wade pool .,some peopl notic johnni got troubl .,everyon realli happi johnni 's behavior .,1
756,ae768ce1-26e7-4d76-8a2e-2a53bdd8d8fc,ami watch kid play stare inhal .,becaus asthma could n't play sport .,she felt art teacher 's hand shoulder .,her teacher smile told ami would great artist one day .,ami felt much better .,ami felt terribl .,1
757,958ba547-7970-4a46-b969-c98dec34907a,joe friend soccer game today .,joe nervou .,He nervou would win .,"final game , joe 's team .",joe proud team .,joe disappoint team .,1
758,2a1b4844-f9c5-4c5c-92e6-bd9b278739c2,mark big interview new job .,He prepar question may ask .,the interview seem impress mark 's answer .,the interview inform mark job .,mark happi .,mark enrag storm .,1
759,240e4087-d102-42d2-a7e7-07c116811129,elain feel like cook tonight .,"therefor , elain decid would go eat .","howev , elain know want eat .",elain deliber go almost hour .,elain found easi make mind .,elain found difficult make mind .,2
760,b358c39f-5c1a-4274-890e-e7ef1b44cc09,sam tri get colleg dream .,He spent long time fill applic .,It made feel good academ achiev .,He submit applic .,3 month later receiv accept letter .,He never thought .,1
761,8af86cec-fa88-4a5f-932d-3113fb225eac,matt decid go bar hop two friend one night .,they drank 3 shot one bar .,"they went 4 , drink 3 shot .",matt end get drunk lost phone .,matt friend walk home slept .,matt care miss phone .,1
762,c71f92f5-d1e8-490e-8226-af55bd39ed69,bindu plan parti friend .,they met hous discuss food band use .,one bindu 's friend brought samosa doogh .,four friend play music parti .,everyon great time .,bindu hate friend parti .,1
763,248a69a6-117f-4512-92db-7bde99a2ab0b,tyler wake need shower school .,hi littl brother use shower .,tyler worri miss bu .,final tyler 's turn shower .,tyler made cupcak show bake skill .,tyler take quick shower get bu stop time .,2
764,e33c53cd-ef8a-4db1-9c32-f959915e58af,thoma feel radar late .,He went doctor get checkup .,hi doctor told cholesterol level littl bit high .,thoma start eat healthier go walk .,He diagnos diabet gain forti pound .,hi doctor pleas next checkup .,2
765,2ad820ab-e57f-4652-bd55-8d65676cc26a,the doorbel rang one .,she unsur whether open door .,slowli creak open door peer outsid .,her brother leap gave good scare .,she decid watch favorit comedi show netflix .,she scream push brother away .,2
766,17701a43-538d-43de-8115-113ff7211818,stephani want make applesauc .,she decid drive farm market pick delici appl .,As walk orchard trip fell .,she broke wrist .,stephani push hand .,stephani could get someon found .,2
767,a4d8103f-fb5b-47b5-9bb0-619a13fff746,roy could n't figur apart smell bad .,hi friend comment went .,everyon decid look sourc .,It turn old fish refriger .,roy decid leav fish refriger .,roy threw old fisher everyth smell better .,2
768,d55d516a-381b-448f-a955-de72d53f50db,jimmi grew poor .,"howev , parent alway best provid .","when got good colleg , work two job afford .","when graduat , want show appreci .",So repaid colleg .,jimmi call parent curs .,1
769,aff4c215-48cf-46b6-9e7d-0f66bab8fe98,jill surpris handsom boy ask colleg danc .,"As roommat got readi , jill fuss hair .",jill 's roommat said could help .,jill finish dress toga-lik white gown .,her date arriv compliment appear .,jill friend fun girls-onli night .,1
770,cd3eb218-2b2d-462e-b33e-2747b8dfaeb3,A bar owner put larg banner advertis bar .,the wind strong blew banner away .,the owner chase ban across town .,It land backyard old woman .,the old woman refus give back banner .,the old woman delight find fur coat .,1
771,f15ddccd-7a21-45c3-ab3f-241ef3b2e4d3,My mother recip pumpkin bar I like quit lot .,she made I bad day .,I ate pumpkin bar I felt much better .,the bar remind mother care .,I never ate pumpkin bar day .,I made pumpkin bar later life remind mom .,2
772,ddb2a703-b9a5-4462-98c2-eb6705f1430f,tim decid spend time granddad .,"hi grandpa love birdwatch , tim watch .",they mark sight notebook .,soon tim realli interest !,tim decid n't interest bird anymor .,tim grandad found hobbi enjoy .,2
773,577c1232-e3bd-4650-8f6f-17d941d9cb6b,danni work local ice cream shop summer .,He excit start first job .,On first day littl boy drop ice cream floor .,"without hesit , danni knew .",He gave anoth scoop ice cream .,He refus give anoth scoop .,1
774,4954957a-a4e8-4764-b04e-e2212f94458f,the school bell rang clock struck 2 .,gina never happi day end .,she grab thing wait door tami .,but tami leav rita mari .,gina felt lone went home .,gina thank tami next day .,1
775,7d5f167f-0f44-4bed-bf1d-7c6a1fbaa6db,laurenc famili decid move .,first pack furnitur .,they pack everyth els .,all belong move van .,laurenc famili drove new home .,laurenc put belong back hous .,1
776,8175fe68-8698-40ec-a14e-7fe61c43a17e,joy want find perfect shell hermit crab .,"she could buy one , would special found .",she scour beach morn .,everyth might work broken !,she buy shell .,So brought one home gave crab .,1
777,cd83513d-dbe7-4931-badb-7adf2c0a1b95,westin get marri !,He want wed go perfectli .,everyth went well even .,someon got intox fell cake !,westin cut perfect slice cake .,weston wife kick intox person .,2
778,91143c2a-eb2c-4524-8ff5-98c06aa46da2,joe help dad clear wood back yard .,all sudden heard loud buzz .,He stir bee 's nest .,He got stung six time could escap .,joe laugh experi .,joe angri got hurt .,2
779,2e5ef55e-204a-4b44-bfa7-644ce0111dd4,It autumn .,todd 's yard full leav .,He decid need rake .,"onc done , put bag .",todd put trash .,todd open bag spread leav around .,1
780,3ed55cbe-f198-4d64-b083-4c27788cf82d,tim dream becom great bodybuild .,He work everi night tri reach goal .,hi hard work paid earn spot popular contest .,"He show skill , lift 250 lb .",tim determin .,tim littl determin .,1
781,2928e9de-f40c-4851-8d2f-a8b70e106751,henri walk class .,"At time , tri clean phone screen cloth .","unfortun , someon bump .",hi phone fell hand land ground .,the person apolog henri .,henri happi thank .,1
782,047d8c8e-c97e-408f-a29d-2d1650e82a18,tami decid attend volleybal tryout .,"she 8th grade , knew good .",she play hard gave .,she n't anticip player would good .,tami made basketbal team .,all player good made team .,2
783,202a3b75-1851-44dc-9162-4cd6123e5ef5,bob jim play ball hous one day .,they knock vase broke mani piec .,they afraid mom would get angri .,"they found glue , care glu vase back togeth .","their mom enjoy new , broken vase .",the glue held vase togeth mom never found .,2
784,69742aaa-ec73-4354-9de2-2ee4f8e19ec1,steve sad .,steve 's girlfriend broke .,He decid write song .,He pour heart song .,steve wonder could ever get back togeth .,steve drove hour away go strip joint drug .,1
785,6c081075-1e92-41e7-9c88-ec81ec0ea7c4,gloria want buy flower husband .,gloria shock price even half dozen lili .,gloria decid pick flower garden .,she got togeth daffodil chrysanthemum .,gloria file divorc shortli .,gloria 's husband appreci gestur .,2
786,5c3cb984-1027-4986-a083-c464fd765beb,josh play basketbal everi day .,hi goal abl make basket court .,"one day , someon challeng contest .",whoever make shot would winner !,john ran away scream terror .,He made shot contest .,2
787,e7594236-eaed-46c5-8389-f1e099bd5e11,lauren alway want wear skinni jean parti .,"howev , need lose weight skinni jean look good .",lauren begin challeng exercis regimen .,final lost enough weight wear skinni jean .,she wore proudli next parti .,she jealou .,1
788,e9cf00b7-9f0e-4760-9066-294f89cf3260,I went hawaii high school .,our entir band class go .,It took 9 hour fli .,It tropic paradis .,I decid I want go hawaii .,hawaii good place travel .,1
789,81a217ff-717d-4416-a45b-25fe7be0d0fa,"sonni live texa , hot summer .",He sick heat .,He decid find way cool .,"At first , could n't think anyth .",He decid go turn heater .,He decid jump pool .,2
790,4cf23e8d-4592-4df1-a5e7-4ffe5d16c7bc,chad incred singer .,He afraid sing .,He want join church choir thought friend would laugh .,due embarrass skill passion .,chad got nerv deliv comedi routin .,"instead laugh , everyon applaud chad final sang .",2
791,a94a118d-643c-434e-8a5b-626aff2969e1,"ronald two kid , boy girl .",that enough .,He realli n't want two honest .,one day wife told babi three way .,He deepli unhappi afraid leav .,hi eye glow excit .,1
792,e56d5c8d-221c-4388-9a15-c38af332120c,I take hike last wednesday .,while walk I stumbl across someth scare .,their front 4 foot snake beadi eye .,I scream ran way back main road .,I biologist studi snake .,I follow road back car .,2
793,3bb6cd39-ddc2-4265-9119-3b7ec21417e9,mari like drink coffe everi morn .,today hurri .,she went drive coffe place .,she notic coffe wrong order drove away .,mari crash poll .,mari kept drive drank anyway .,2
794,cb08f9a9-81a8-46e8-a72e-22252f55a984,bill move big citi work .,He felt lone know anybodi town .,after work one day bill decid join cowork drink .,He lot fun hang .,bill made lot friend day .,bill upset cowork .,1
795,dad91d83-5774-4465-9256-0168882ff253,billi want becom doctor .,He went colleg becom doctor .,"after graduat degre , chang mind .",billi becam nurs instead doctor .,He never regret decis .,"He depress , becam alcohol .",1
796,1edab233-bd17-466b-b096-763a79b68f7f,quinton get evict apart .,He broke incom .,"one day , decid spend last dollar lotto .","To disbelief , $ 50,000 !",quinton felt depress .,quinton happi .,2
797,d1fdbb06-3fda-49a6-8987-4aa10930bb53,after igor woke began get readi work .,He turn shower wait get hot .,the water remain cold .,He debat take cold shower shower .,He ate muffin .,igor took cold shower .,2
798,e04b2175-4e43-4660-a9bc-fbb0f0a2db6d,tara prefer big band music altern .,she love horn brass instrument involv .,she tri find fellow big band lover .,her attempt futil .,tara still enjoy listen !,tara mean girl .,1
799,dac28c5f-fbd7-48dc-810e-c5126ac2ac89,I travel washington DC visit boyfriend .,We went mani place around town .,but one place I want go white hous .,"He took white hous , I happi .",We took tour enjoy histori place .,We left white hous abruptli take tour .,1
800,61eaf272-ed42-4f8f-be21-d1f5d08232dd,My son bought drum set one year old niec last fall .,"the set drumstick , cymbal , seat .",hi niec live nyc .,"she saw visit , thrill .",she hate music .,she want play drum .,2
801,15f0716f-58ba-42c1-8551-969e4fed73b8,maggi first piano recit tonight .,she nervou .,when got stage shake .,thank end play perfectli .,maggi encourag .,maggi gave piano .,1
802,fb657e17-160f-459f-99e2-176d6a9f9fe5,Ed like movi night famili .,they would get treat drink huddl around tv .,they watch aladdin tonight .,but Ed fell asleep end .,Ed happi end .,Ed regret fall asleep .,2
803,9b84f608-dfbd-4e83-8f09-82371de7b597,I decid I want sign christma club bank .,I call teller ask could .,she told I could come time .,I went morn sign plan .,I glad I sign .,I regret sign .,1
804,549ab2c4-c609-4c30-b0b9-ce126b9cb78c,mac vegan friend come dinner .,"He groan , know could n't make steak hamburg .",then rememb alfredo sauc recip made cashew .,"To surpris , sauc came creami delici .",He decid serv meatloaf instead .,they enjoy meal .,2
805,8752af72-d046-4b0c-b8f2-70b7830775fa,ryan use work mall secur .,He often work night shift .,"one day , saw raccoon mall .",He stare hour left .,ryan blind .,ryan decid job rather dull .,2
806,c578bb8a-96b3-4f9c-8e57-086bb7a1b4ec,johnni 's teacher treat class homemad snow cone .,the teacher let student pick color syrup top .,"when turn came , johnni got mad saw one color left .",johnni 's teacher ask wrong .,johnni told teacher happi .,johnni told teacher upset n't get color .,2
807,1e8514dc-7aa4-49be-af6e-91ffeb1b06dc,tim choos three girl date .,He like three need make decis .,He talk three see like .,He eventu went girl want see .,tim gay .,tim satisfi .,2
808,2f54110e-3ffe-45b0-84af-58c6e04c9056,jill convinc boyfriend joe go look geocach .,He n't think sound like fun decid humor .,they search locat geocach suppos .,after hour search unabl find .,jill hope would find soon .,jill glad bring joe .,1
809,aff182db-fdb7-40d4-b5e1-b7832062b4c8,brigid friend ella took piano lesson .,ella 's father bought expens grand piano renown maker .,brigid 's father could afford buy use upright piano .,but ella foolish insensit girl never practic .,ella ever becom good piano .,ella becam star piano player .,1
810,b25259c8-032f-41ee-b65d-91e191d79bee,dave want buy gun .,He went gun store ask mani question .,He look big gun littl gun .,He decid want buy big shotgun .,dave second amend .,dave bought enjoy purchas .,2
811,d3b8322e-701b-4fc9-9c22-19829846be51,rose took train long island .,"there , went tip island .",she went beach montauk point .,It cold windswept .,rose warm took jacket .,rose shield face wind .,2
812,0651e816-17ac-4226-9b7f-6391936ced7d,drew use typewrit special project .,He tri care sinc could n't eras word .,"howev , end fall asleep .",hi head land key sever letter type .,drew glad project would free mistak .,drew start type paper .,2
813,8eb0f3e2-f19f-46d6-8ad5-fef5aee976bf,sarah alway fascin night sky .,"notic passion , sarah 's father bought new telescop .",she ecstat .,she went outsid everi night dilig view night sky .,sarah 's father took back telescop .,sarah love new telescop .,2
814,b5225b40-7c56-4569-907e-8ac547e7ed7b,kristen tire room .,she need move around chang .,she n't move four year 's .,after move everyth saw huge stain bed cover .,melani decid room look perfect .,she decid put rug stain .,2
815,3a97e4bc-6cc7-4c33-bf8f-4f31ebca4e6e,My sister move 35 .,she 'd live wife beater rundown trailer park .,"the man track hous one cold , dark night .",He broke hous sleep .,We woke find sneak window .,"He sat tabl us , drink .",1
816,8078b014-a08d-4e23-8c52-bc82316d7207,My parent fell love .,I 'm sure happen seem mutual .,they decid end thing amic .,although I 'm hurt I 'm glad chose make happi .,My parent want live togeth .,My parent live separ live .,2
817,92eac3bf-1e5f-428e-bad3-52b72ff12be6,anna go babi sibl .,her mom went hospit anna hope .,"she realli want littl sister , brother !","when mom return home babi , anna overjoy .",the new babi boy .,the new babi girl .,2
818,90396c59-53e9-41fd-b6c2-fe87d57e0064,monica decid play truth dare friend .,they afraid confess anyth pick dare .,the dare got progress elabor day wore .,monica dare friend shoplift dorito friend .,monica friend enjoy dorito next dare .,monica could explain friend stolen dorito .,1
819,642a4773-0c58-41c4-85ed-c9544b642ded,ray went friend 's hous sleepov .,He realiz 'd forgotten toothbrush .,He unabl brush teeth !,"ray tri use toothpast finger , use .","final , ray ask friend spare toothbrush .",ray good job brush teeth .,1
820,896f3a7a-76b3-4cf9-ac0b-286e62200f8e,elli lot homework .,she start math homework .,"after finish , wrote book report .","the last assign studi guid , took ten minut .",elli felt prepar school .,elli decid skip school next day ahead .,1
821,792e9960-ab64-4b97-a921-5f2eae24af47,don love comic book .,He consist collect issu favorit stori .,As grew older love comic grew .,He decid want start comic book compani .,He name don 's comic .,don threw comic trash .,1
822,70a48e6f-a798-4f68-a865-4cecdac6c262,arnold scare bat .,He thought bite would turn vampir .,one day saw bat bathroom .,He freak much scream .,arnold took relax shower bat .,the bat flew directli toward sourc scream .,2
823,ba16f5a9-59b8-4472-8fd5-e2356902f0da,annabel love sing .,she sing school choir .,mari notic annabel 's great sing voic .,mari ask annabel band .,annabel said ye excit opportun .,annabel offend .,1
824,c373ed81-b0de-4d8d-88dd-e18a4d62f9ae,uki travel africa .,"one night , bit black mamba .",uki scream pain !,He rush local hospit .,the doctor instruct drink plenti fluid .,they gave antidot save life .,2
825,3afb1043-b5e5-4935-9d2a-819270164bec,sean homeless .,He beg money street .,"for one week , one gave money .",He starv .,sean decid go shelter .,sean eventu move huge hous .,1
826,8591a808-13de-487c-8468-0d49058b5ad3,two hobo agre make dinner togeth .,each set find ingredi .,the first return worn boot .,the second return gross wing nut .,they decid could make meal .,the two hobo ate cheeseburg .,1
827,7a3f8018-cb36-403d-b464-14f3a6872b70,judi bill prepar dinner parent .,judi make roast potato roll gravi .,bill set tabl put background music .,"the doorbel ring , parent .",judi bill highli unprepar .,judi bill prepar .,2
828,cca245f8-ea9f-4110-87c5-9b23b17ce789,sal hurt leg wife accident trip .,she felt bad wait hand foot .,she bought food gave messag .,sal like attent .,sal furiou wife .,sal 's leg eventu heal .,2
829,69e3f1f0-05e6-44cc-9afe-e63859802612,rebecca met jake six year 's old .,they becam best friend grew togeth .,"when 13 year 's old , jakel famili move away .",He promis rebecca would come back .,jake 's famili move back next rebecca three year later .,rebecca jake audit music .,1
830,f5666b2f-ccbb-421c-ad5a-a0dd0e3cf52a,one weekend want see movi kid .,there two movi want see .,So decid divid conquer .,two kid went one husband son anoth .,"after , got divorc .",both group great time see movi want .,2
831,e46e91fe-65e7-42f0-93ed-bebd23ff903c,ami 's sister took beach surf vacat .,ami hurriedli suit wetsuit .,the instructor patient ami could n't get hang .,final time ami tri .,ami decid go swim .,ami surpris good job .,2
832,ca41e234-633f-4b0b-8f7f-7cca85b688ea,kay built raft .,"He use plank scrap wood , nail .",He work hard spring .,"come summer , test lake .",kay 's raft float .,kay use raft firewood .,1
833,8683daa0-eb11-418c-b411-046283484c92,max bright boy .,but would becom lost vivid imagin .,"No matter hard tri , found daydream .",max well school .,max consist fail .,max 's teacher 's prais creativ .,1
834,8f7be9c8-a310-4319-9ae1-5c20b9b0f292,gina funer grandpa .,"gina watch friend made remark , told stori .",the stori funni interest .,gina got chanc see grandpa differ light .,she knew someon would alway rememb .,she realiz bore life .,1
835,2c2e3bc5-3cda-4c6b-9173-41e4eeaf36c7,ashley felt sick day today .,she feel like go throw .,she ask boss go home day .,her boss let leav work .,ashley went surf .,ashley went home went bed get better .,2
836,cca36237-4d06-4282-b20a-47006348b0a2,marley sleep horribl everi night .,she decid need get new bed .,she went closest store could n't find bed like .,she told mom sleep problem .,her mom brought sleep specialist .,her mom gave alarm clock .,1
837,61d3fcb2-33e6-47c7-8ee2-80230d9a0717,joe aspir journalist .,but 's feel pretti frustrat news media .,"He consid go back school , decid .","final , land well-pay job .",joe could find job .,joe grate went work .,2
838,3be5ad30-ff57-4914-99b8-b89ae807bf6c,lizzi live island tropic .,everyday go banana plantat get .,today lizzi want pick banana .,she climb tall tree realiz big bunch .,lizzi decid like banana .,lizzi need help get banana .,2
839,b0646c99-45f2-4db5-bc83-e60e69b37387,In 1997 I rode old bu .,"A local group rent 1957 transit bu , paint old color .",I rode bu went suburban boston .,I took plenti photo .,I afraid height .,I great time !,2
840,a555794a-41f6-4893-9125-1a0a3a5445f1,bryan wonder arm itch .,He scratch arm left scar bad .,He final went doctor found poison ivi .,the doctor gave ointment antibiot .,bryan went home pain .,bryan went home reliev .,2
841,418b31ba-eb1a-4986-b569-dafa82f58bc3,toni mark fierc rival basketbal court .,everyday school would meet local blacktop play .,they would alway play one one .,they alway evenli match .,toni would blowout mark .,the game close .,2
842,3213262c-8178-478f-9528-61fdc6f89dee,becki friend decid make candi bar .,the got ingredi togeth got .,the girl ton fun .,when candi cool put bag .,the girl decid never want make candi bar .,her friend suggest sell candi bake sale .,2
843,900e1a7a-c221-4b15-9998-750301bd6a31,robin went gym .,she work 2 hour .,while gym arm ab .,she determin get shape .,she continu work rest year .,she went home ate 3 carton ice cream .,1
844,89cbffbf-4258-47a7-944a-9241ec0c2f17,rachel work hard buy first home .,she proud accomplish .,"unfortun , lost job eventu , home .",she decid stay hotel find new job .,she happi turn event .,she becam depress .,2
845,96ed19af-f263-4cad-b0a7-7f13484243a7,wendi took daughter orchard .,they pick huge bunch appl brought home .,"togeth , peel clean appl .",wendi daughter bake delici pie .,wendi great time bond daughter .,wendi like appl .,1
846,9b291170-7135-4249-9411-24c27a685414,bill save pocket chang 2 week last month .,It sucker store .,He brought chanc bought sucker .,walk home trip fell .,bill thought luckiest guy aliv .,bill sad see sucker cover dirt ground .,2
847,f5625636-c343-4673-8695-dd8f5ed5058e,neil visit romania .,He arriv excit see transylvania .,"when got , saw gorgeou old castl .",He also found friendli local .,neil decid never return transylvania .,neil enjoy visit transylvania .,2
848,e4a9b75f-b93b-4008-8a61-1910c1cbb333,marc love video game .,hi favorit video game seri releas new game .,He work hard save money .,"final , abl purchas game .","sadli , late footbal game .","sadli , new video game disappoint .",2
849,4491c70f-158c-4c4b-b5ed-87b3812711f3,last week stunt doubl tri new stunt .,It involv big car crash .,someth went wrong one safeti har snap .,the stunt man eject seat .,the stunt man paralyz .,the stunt man love .,1
850,b666186a-9b57-42d0-adb8-96ccab629c82,"pamela excit final boyfriend , ralph .",ralph never listen said .,He rare show time .,He flirt much girl .,ralph ask pamela marri .,pamela decid break ralph .,2
851,76e63073-9411-4974-b799-5d2d97b66955,helen want go space .,she decid becom astronaut .,she studi hard .,she pass test !,helen look forward first mission .,helen dread see outerspac .,1
852,d2f91b44-c9d8-4739-916c-b6a555db3fb2,I move new apart last week .,I lot stuff move .,It took 8 hour get stuff apart .,then I get everyth organ .,then I slept longest I ever whole life .,I pack stuff .,1
853,9f211d53-a8ce-4dbb-9962-d0a7a431775c,hailey like play friend .,she playdat everi week .,one day hailey 's mom got argument one mom .,hailey told never go back .,hailey excit see tomorrow .,hailey cri think would see friend .,2
854,7afb9047-0f6b-42cc-9787-34aacba9d03b,maybel 's breath alway smell like peppermint .,"her hous well , least 's rememb .",To day keep peppermint cupboard .,they remind grandma meant .,He hate grandmoth .,It fond memori .,2
855,94e8ad21-f64e-4883-b78a-e7e4edf9deb7,jake went ski trip mountain friend .,jake n't good ski went anyway .,"one day , go challeng slope .",the boy fine jake fell broke leg !,"jake wait leg heal , tri ski .",jake tri ski follow day .,1
856,a7055395-54de-49ed-83dd-c185ea15d576,valeri decid want learn german .,she sign class teach .,"when n't class , studi hard .","soon , decid practic speak german german friend .",valeri want visit germani .,valeri hope live itali someday .,1
857,3e4b2ed5-eab3-489d-a6be-3ad106988fa8,clara went mall .,she meet friend salli .,they lunch mall .,they shop rest day .,clara tire time got home .,clara felt lone .,1
858,e45e2974-a14f-4f8b-b681-ca7cb37cd2ee,tim got new phone .,He drop time hour within get .,He decid need case protect phone .,He went local store purchas waterproof phone case .,tim 's phone becam ruin spill water .,tim n't worri drop water anymor .,2
859,2f5c65fb-843e-4997-8140-13f5f38c9137,gina 's famili pull rest stop highway .,gina got stretch leg .,At stop ga station burger king .,gina normal n't like burger king 's fri .,gina walk highway without famili .,gina hungri fri tast good time .,2
860,f3c5e059-72e7-412b-9248-80396c4e240a,I got call late one night .,think one friend I answer .,the woman line unfamiliar .,I ask call .,she said long lost mother .,I said goodby man phone .,1
861,2ad06102-faf3-4d63-8256-be03d543ce2c,nelli cashier bad day store .,she kept make small mistak peopl get mad .,even last custom mad n't even fault .,As soon time break dash outsid .,nelli hate outdoor .,the fresh air exactli nelli need clear head .,2
862,2db35e99-36cf-4fbd-876d-d26fe8b649c9,alec 's daughter want block play .,alec figur block would develop scientif mind .,alec bought block letter .,alec 's daughter made word rather structur .,alec wife decid go movi .,alec happi see daughter develop verbal abil .,2
863,7c8964d9-c397-485d-86dc-6b95fb3be64a,I decid murder neighbor .,I crept hous middl night .,I kill slept .,I caught polic .,the polic offic gave badg made deputi .,It terribl sentenc life prison .,2
864,2e2b0ba2-cc01-48ca-983d-50109116c862,tim bought record player thrift shop .,He n't record play .,He ask parent .,they gave entir record collect youth .,He felt cool retro play record parti .,He broke record one one parent watch .,1
